place_id,lat,lon
BikePoints_651,51.4809,-0.183853
BikePoints_718,51.535717,-0.060291
BikePoints_420,51.504044,-0.105312
BikePoints_69,51.526237,-0.134407
BikePoints_219,51.49016,-0.190393
BikePoints_387,51.4937,-0.121394
BikePoints_677,51.46867,-0.146544
BikePoints_660,51.49087,-0.206029
BikePoints_458,51.50475,-0.057544
BikePoints_212,51.506584,-0.199004
BikePoints_286,51.527294,-0.174653
BikePoints_571,51.506256,-0.218337
BikePoints_232,51.51501,-0.112753
BikePoints_465,51.53558,-0.08249
BikePoints_512,51.53209,-0.06142
BikePoints_602,51.472992,-0.133972
BikePoints_841,51.500847,-0.074704
BikePoints_200,51.514923,-0.066078
BikePoints_290,51.51827,-0.171103
BikePoints_814,51.47143,-0.12367
BikePoints_545,51.539955,-0.145246
BikePoints_691,51.47946,-0.195777
BikePoints_371,51.49775,-0.10988
BikePoints_623,51.46193,-0.180791
BikePoints_665,51.461082,-0.191722
BikePoints_299,51.493984,-0.136928
BikePoints_724,51.457993,-0.184806
BikePoints_735,51.464893,-0.173029
BikePoints_10,51.505974,-0.092754
BikePoints_856,51.527843,-0.108068
BikePoints_274,51.49671,-0.205284
BikePoints_484,51.528828,-0.013258
BikePoints_100,51.490437,-0.122806
BikePoints_301,51.51476,-0.148105
BikePoints_641,51.49824,-0.117495
BikePoints_8,51.529858,-0.183486
BikePoints_477,51.49109,-0.018716
BikePoints_364,51.519573,-0.13214
BikePoints_345,51.48802,-0.166878
BikePoints_490,51.50862,-0.065006
BikePoints_356,51.49441,-0.173881
BikePoints_383,51.513103,-0.131213
BikePoints_732,51.506306,-0.087262
BikePoints_5,51.49313,-0.156876
BikePoints_541,51.506615,-0.142844
BikePoints_123,51.52836,-0.104724
BikePoints_670,51.467186,-0.152248
BikePoints_28,51.523518,-0.143613
BikePoints_206,51.518154,-0.062697
BikePoints_313,51.517345,-0.138072
BikePoints_373,51.499805,-0.176415
BikePoints_532,51.50357,-0.020068
BikePoints_468,51.521564,-0.022694
BikePoints_777,51.46192,-0.165297
BikePoints_156,51.494434,-0.092921
BikePoints_60,51.526447,-0.17219
BikePoints_132,51.523647,-0.074754
BikePoints_370,51.520206,-0.174593
BikePoints_601,51.514767,-0.225787
BikePoints_4,51.53006,-0.120973
BikePoints_395,51.492462,-0.159919
BikePoints_486,51.525646,-0.069543
BikePoints_540,51.5283,-0.144466
BikePoints_557,51.51601,-0.0985
BikePoints_180,51.512913,-0.153645
BikePoints_353,51.49459,-0.134234
BikePoints_500,51.52002,-0.05438
BikePoints_800,51.48112,-0.149035
BikePoints_419,51.48582,-0.149004
BikePoints_473,51.496136,-0.019355
BikePoints_218,51.489716,-0.170194
BikePoints_405,51.494186,-0.18267
BikePoints_547,51.509476,-0.002275
BikePoints_332,51.493343,-0.194757
BikePoints_516,51.5112,-0.014438
BikePoints_750,51.471096,-0.15785
BikePoints_40,51.52127,-0.075578
BikePoints_298,51.502277,-0.074189
BikePoints_13,51.519913,-0.136039
BikePoints_693,51.464787,-0.215618
BikePoints_107,51.52601,-0.096317
BikePoints_475,51.499043,-0.020157
BikePoints_410,51.519966,-0.169774
BikePoints_751,51.51613,-0.120909
BikePoints_46,51.50713,-0.06691
BikePoints_50,51.52867,-0.087459
BikePoints_331,51.52086,-0.089887
BikePoints_530,51.508896,-0.012413
BikePoints_492,51.5255,-0.032267
BikePoints_773,51.51189,-0.107349
BikePoints_322,51.526295,-0.073955
BikePoints_498,51.527058,-0.025296
BikePoints_526,51.503143,-0.008428
BikePoints_197,51.50557,-0.111606
BikePoints_309,51.509632,-0.119047
BikePoints_767,51.457058,-0.200806
BikePoints_840,51.498585,-0.068981
BikePoints_155,51.495865,-0.191933
BikePoints_532,51.5034,-0.020242
BikePoints_262,51.498745,-0.103132
BikePoints_478,51.52189,-0.04667
BikePoints_378,51.49559,-0.179077
BikePoints_834,51.477966,-0.147857
BikePoints_190,51.489975,-0.132845
BikePoints_409,51.493145,-0.099828
BikePoints_761,51.483215,-0.21186
BikePoints_588,51.52959,-0.0801
BikePoints_51,51.52672,-0.104298
BikePoints_256,51.51362,-0.116764
BikePoints_170,51.527843,-0.108068
BikePoints_279,51.518623,-0.176603
BikePoints_768,51.46134,-0.159322
BikePoints_425,51.53747,-0.130294
BikePoints_648,51.46904,-0.196274
BikePoints_725,51.491325,-0.096518
BikePoints_257,51.52248,-0.154907
BikePoints_802,51.47659,-0.118256
BikePoints_36,51.501736,-0.18498
BikePoints_689,51.459225,-0.180884
BikePoints_632,51.47054,-0.163041
BikePoints_43,51.52026,-0.157183
BikePoints_53,51.50999,-0.143495
BikePoints_488,51.506947,-0.058681
BikePoints_76,51.525597,-0.144083
BikePoints_460,51.516197,-0.029138
BikePoints_827,51.479603,-0.111471
BikePoints_439,51.5338,-0.118677
BikePoints_835,51.516785,-0.104947
BikePoints_106,51.514107,-0.147301
BikePoints_119,51.525894,-0.090847
BikePoints_220,51.490665,-0.166485
BikePoints_199,51.510483,-0.082989
BikePoints_202,51.512363,-0.069542
BikePoints_507,51.52869,-0.059091
BikePoints_753,51.452995,-0.148651
BikePoints_792,51.505463,-0.10454
BikePoints_678,51.46231,-0.211468
BikePoints_193,51.505817,-0.100186
BikePoints_762,51.5007,-0.129698
BikePoints_680,51.477684,-0.170329
BikePoints_450,51.515976,-0.053177
BikePoints_446,51.528934,-0.055894
BikePoints_408,51.520008,-0.083935
BikePoints_611,51.506466,-0.208486
BikePoints_81,51.520252,-0.141327
BikePoints_236,51.51838,-0.073438
BikePoints_74,51.485916,-0.124469
BikePoints_469,51.513756,-0.020467
BikePoints_600,51.481747,-0.124642
BikePoints_166,51.501854,-0.159237
BikePoints_664,51.474377,-0.155442
BikePoints_640,51.472866,-0.148059
BikePoints_852,51.48357,-0.202038
BikePoints_250,51.489933,-0.162727
BikePoints_276,51.5093,-0.084985
BikePoints_775,51.496662,-0.223868
BikePoints_679,51.474537,-0.17021
BikePoints_297,51.496128,-0.106
BikePoints_620,51.47518,-0.16716
BikePoints_584,51.51244,-0.19096
BikePoints_55,51.517075,-0.086685
BikePoints_7,51.5343,-0.168074
BikePoints_390,51.521774,-0.068856
BikePoints_813,51.48781,-0.122759
BikePoints_424,51.49049,-0.149186
BikePoints_195,51.507244,-0.106237
BikePoints_174,51.51258,-0.115057
BikePoints_259,51.49096,-0.153233
BikePoints_242,51.522007,-0.151359
BikePoints_384,51.496483,-0.192404
BikePoints_673,51.46517,-0.180389
BikePoints_335,51.511967,-0.120718
BikePoints_317,51.49679,-0.093913
BikePoints_515,51.500088,-0.211316
BikePoints_355,51.461388,-0.139221
BikePoints_394,51.524826,-0.176268
BikePoints_203,51.51822,-0.100791
BikePoints_111,51.510017,-0.157275
BikePoints_745,51.47817,-0.182435
BikePoints_830,51.4692,-0.119022
BikePoints_379,51.514313,-0.200838
BikePoints_67,51.518826,-0.108028
BikePoints_459,51.53518,-0.03338
BikePoints_44,51.510735,-0.144165
BikePoints_628,51.46882,-0.184318
BikePoints_755,51.485123,-0.174971
BikePoints_556,51.502663,-0.021596
BikePoints_595,51.493267,-0.21985
BikePoints_637,51.45787,-0.174691
